aut;trad;ini;ext;num;yr;iniper;gen;;
Rudyard Kipling;Ramon Guerrero;9;2.2;44;3;56;prosa;;
Jean Richepin;anon si;10;1.7;45;3;63;prosa;;
Various Japanese authors;Jose Juan Tablada;5;0.6;46;3;31;poesia;;
Rene Maizeroy;anon si;8;1.3;46;3;50;prosa;;
Hector Berlioz;anon no;16;0.45;46;3;100;prosa;;
Lucien Descaves;anon no;16;0.55;46;3;100;prosa;;
no hay;no hay;;;47;4;;no hay;;
Georges d'Esparbes;anon si;10;1.6;48;4;63;prosa;;
Giosue Carducci;anon si;8;0.4;49;4;50;prosa;;
Casimir Stryenski;anon si;11;4;50;4;69;prosa;;
Ivan Turguenev;anon no;15;0.3;50;4;94;prosa;;
Lev Tolstoy;anon no;16;0.4;50;4;100;prosa;;
Paul Bourget;anon no;16;0.4;50;4;100;prosa;;
[Anonymous];Jose Juan Tablada;7;4.25;51;4;44;drama;;
Paul Margueritte;anon no;11;1.75;51;4;69;prosa;;
Ivan Turguenev;anon no;3;0.5;52;4;19;prosa;;
Ed. and J. de Goncourt;anon si;5;3.5;52;4;31;prosa;;
Ivan Turguenev;anon no;8;0.5;52;4;50;prosa;;
Ivan Turguenev;anon no;10;0.25;52;4;63;prosa;;
Francis Jammes;anon si;6;0.25;53;4;38;prosa;;
Octave Mirbeau;anon si;8;1;53;4;50;prosa;;
Matilde Serao;anon no;13;2.15;53;4;81;prosa;;
Marcel Schwob;anon si;16;0.45;53;4;100;prosa;;
Abel Hermant;anon si;16;0.75;54;4;100;prosa;;
no hay;no hay;;;55;4;;no hay;;
Catullus;Joaquin D. Casasus;3;0.25;56;4;19;poesia;;
Jules Renard;anon si;11;0.5;56;4;69;prosa;;
Joris Karl Huysmans;anon si;12;3;56;4;75;prosa;;
Leon Bloy;anon si;12;2;57;4;75;prosa;;
Charles Baudelaire;anon no;16;0.45;58;4;100;poesia;;
Jean Bernard;anon si;14;2.3;59;4;88;prosa;;
no hay;no hay;;;60;4;;no hay;;
Paul Verlaine;Balbino Davalos;3;1;61;4;19;poesia;;
Sully Prudhomme;Jose Juan Tablada;4;1;61;4;25;poesia;;
Lev Tolstoy;anon no;10;4.7;61;4;63;prosa;;
Ely Halperine-Kaminsky;anon no;8;4.4;62;4;50;prosa;;
Ivan Turguenev;anon no;13;0.7;62;4;81;prosa;;
Ivan Turguenev;anon no;16;1;62;4;100;prosa;;
Ely Halperine-Kaminsky;anon si;6;3;63;4;38;prosa;;
Jesus E. Valenzuela;H. D. Steele;9;1;63;4;56;poesia;;
Olindo Guerrini ;Balbino Davalos;11;0.4;63;4;69;poesia;;
Jose-Maria de Heredia;Jose Juan Tablada;4;0.4;64;4;25;poesia;;
Anatole France;anon no;16;1;64;4;100;prosa;;
Theodore de Banville;Jose Juan Tablada;4;1;65;4;25;poesia;;
Charles Baudelaire;anon si;8;0.6;65;4;50;poesia;;
Jose-Maria de Heredia;anon no;12;2.7;65;4;75;prosa;;
no hay;no hay;;;66;4;;no hay;;
Richard Henry Wilde, Henry Longfellow, John Greenleaf Whittier, Walt Whitman, Edgar Allan Poe;Balbino Davalos;2;5.2;67;4;13;poesia;;
no hay;no hay;;;68;4;;no hay;;
William Cullen Bryant;Joaquin D. Casasus;11;0.65;69;4;69;poesia;;
William Cullen Bryant;Joaquin D. Casasus;11;0.35;69;4;69;poesia;;
Jules Lemaitre;anon no;12;2.55;69;4;75;prosa;;
Andre Theuriet;anon no;13;3;70;4;81;prosa;;
Maxim Gorky ;anon si;5;3;71;5;31;prosa;;
Joris Karl Huysmans;Alberto Leduc;11;3;71;5;69;prosa;;
Albert Samain;Jose Juan Tablada;4;0.7;72;5;25;poesia;;
Anatole France;anon si;5;3.3;72;5;31;prosa;;
Maurice Rollinat;Jose Juan Tablada;8;0.7;72;5;50;poesia;;
Joris Karl Huysmans;Alberto Leduc;9;4;73;5;56;prosa;;
[John D. Fitz-Gerald];anon no;16;1;74;5;100;prosa;;
Maurice Maeterlinck;anon si;12;2;75;5;75;prosa;;
John D. Fitz-Gerald;anon no;14;3;75;5;88;prosa;;
[Anonymous];anon si;11;2;76;5;69;prosa;;
Eugenio de Castro;Jose Juan Tablada;2;3;77;5;13;poesia;;
Edmondo de Amicis;anon no;11;4;77;5;69;prosa;;
Jean Besliere;anon si;10;3.5;78;5;63;prosa;;
Eugenio de Castro;Jose Juan Tablada;14;2;78;5;88;poesia;;
Catulle Mendes;anon no;8;1.7;79;5;50;prosa;;
Catullus;Joaquin D. Casasus;10;1;79;5;63;poesia;;
Eugenio de Castro;Jose Juan Tablada;8;4.5;80;5;50;poesia;;
no hay;no hay;;;81;5;;no hay;;
Maurice Level;anon si;11;1.3;82;5;69;prosa;;
Juan Richepin;anon si;13;2;82;5;81;prosa;;
Eugenio de Castro;Jose Juan Tablada;15;1.7;82;5;94;poesia;;
Raymond Foulche-Delbosc;Balbino Davalos;6;3.25;83;5;38;prosa;;
Andre Gide/Oscar Wilde;anon si;9;1.75;83;5;56;prosa;;
Eugenio de Castro;Jose Juan Tablada;11;4;83;5;69;poesia;;
Eugenio de Castro;Jose Juan Tablada;6;4.7;84;5;38;poesia;;
Edmond Haraucourt;anon si;9;3;85;5;56;prosa;;
Edmond Haraucourt;anon si;14;3;85;5;88;prosa;;
no hay;no hay;;;86;5;;no hay;;
Charles Baudelaire;anon no;9;1.4;87;5;56;prosa;;
Jean Richepin;anon si;12;2.6;87;5;75;prosa;;
Jules Bois;anon si;8;3;88;5;50;prosa;;
Paul Verlaine;anon no;16;0.9;88;5;100;poesia;;
Jean Madeline;anon si;13;2;89;5;81;prosa;;
no hay;no hay;;;90;5;;no hay;;
no hay;no hay;;;91;5;;no hay;;
Stephane Mallarme;Ricardo Gomez Robelo;13;2;92;5;81;prosa;;
Maurice Maeterlinck;Balbino Davalos;5;8;93;5;31;drama;;
Emma Wolf;anon si;10;4;94;5;63;prosa;;
Jean Loredan;anon no;4;2;95;6;25;prosa;;
Leon Bloy;anon si;8;3;95;6;50;prosa;;
Paul Verlaine;Enrique Gonzalez Martinez;7;2;96;6;44;poesia;;
Leon Bloy;anon si;12;3;96;6;75;prosa;;
no hay;no hay;;;97;6;;no hay;;
Leon Bloy;anon si;10;3;98;6;63;prosa;;
Leon Bloy;anon si;4;4;99;6;25;prosa;;
Henry Durand-Davray;anon si;6;2.8;100;6;38;prosa;;
Maurice Barres;anon no;11;3;100;6;69;prosa;;
Walt Whitman;anon no;5;0.7;101;6;31;poesia;;
Antonio Fogazzaro;anon no;6;2;101;6;38;prosa;;
Octave Mirbeau;anon no;8;2;101;6;50;prosa;;
Leon Bloy;anon si;11;3;101;6;69;prosa;;
Octave Mirbeau;anon no;4;3;102;6;25;prosa;;
Jacint Verdaguer;anon si;11;2;102;6;69;prosa;;
Maurice Barres;anon si;14;3;102;6;88;prosa;;
Arsene Houssaye;anon no;7;1;103;6;44;prosa;;
Mark Twain;anon no;9;5;103;6;56;prosa;;
Gabriele D'Annunzio;anon no;5;3;104;6;31;prosa;;
Anatole France;anon no;4;3;105;6;25;prosa;;
Stefan George;Guillermo Valencia;7;2;105;6;44;poesia;;
Edmund Alkalay;anon no;11;2;105;6;69;prosa;;
Mark Twain;anon no;3;2;106;6;19;prosa;;
Leopoldo Diaz;J. Raisin;11;1;106;6;69;poesia;;
Therese de Solmes;anon no;12;4;106;6;75;prosa;;
Gabriele D'Annunzio;anon no;10;1;107;6;63;prosa;;
Catulle Mendes;anon no;11;1;107;6;69;prosa;;
Edmondo de Amicis;anon no;11;4;108;6;69;prosa;;
Gaston Paris;anon no;5;1;109;6;31;prosa;;
Walt Whitman;Amado Nervo;6;8;109;6;38;poesia;;
no hay;no hay;;;110;6;;no hay;;
